ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Lithuania,3089,2658,5747,,,,,,,Tonga,9,3,12,300%
,,,,,,,,,,,,,,,Luxembourg,708,348,1056,,,,,,,Liberia,21,7,28,300%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,Ethiopia,2475,827,3302,299%
,,,,,,,,,,,,,,,Malta,460,282,742,,,,,,,China,1056767,355146,1411913,298%
,,,,,,,,,,,,,,,Moldova,168,92,260,,,,,,,Senegal,107,36,143,297%
,,,,,,,,,,,,,,,Monaco,122,23,145,,,,,,,Oman,6404,2155,8559,297%
,,,,,,,,,,,,,,,Montenegro,95,60,155,,,,,,,Bahrain,1892,638,2530,297%
,,,,,,,,,,,,,,,Netherlands,22107,21012,43119,,,,,,,Kenya,582,198,780,294%
,,,,,,,,,,,,,,,North Macedonia,132,75,207,,,,,,,Namibia,82,28,110,293%
,,,,,,,,,,,,,,,Norway,19000,11911,30911,,,,,,,República Dominicana,122,42,164,290%
,,,,,,,,,,,,,,,Poland,21979,16129,38108,,,,,,,Côte d'Ivoire,61,21,82,290%
,,,,,,,,,,,,,,,Portugal,3635,2809,6444,,,,,,,Tunisia,571,197,768,290%
,,,,,,,,,,,,,,,Romania,6206,4592,10798,,,,,,,Senegal,113,39,152,290%
,,,,,,,,,,,,,,,Russian Federation,229489,202759,432248,,,,,,,Ghana,107,37,144,289%
,,,,,,,,,,,,,,,San Marino,35,42,77,,,,,,,Namibia,107,37,144,289%
,,,,,,,,,,,,,,,Serbia,1672,1324,2996,,,,,,,Panama,107,37,144,289%
,,,,,,,,,,,,,,,Slovakia,3431,2657,6088,,,,,,,Botswana,49,17,66,288%
,,,,,,,,,,,,,,,Slovenia,1285,1240,2525,,,,,,,Guinea,72,25,97,288%
,,,,,,,,,,,,,,,Spain,11656,8488,20144,,,,,,,República Dominicana,66,23,89,287%
,,,,,,,,,,,,,,,Sweden,52312,30972,83284,,,,,,,China,832446,291323,1123769,286%
,,,,,,,,,,,,,,,Switzerland,23899,16839,40738,,,,,,,Malawi,20,7,27,286%
,,,,,,,,,,,,,,,Tajikistan,95,62,157,,,,,,,Mozambique,80,28,108,286%
,,,,,,,,,,,,,,,Turkey,8770,6750,15520,,,,,,,Mozambique,100,35,135,286%
,,,,,,,,,,,,,,,Turkmenistan,735,22,757,,,,,,,Panama,100,35,135,286%
,,,,,,,,,,,,,,,Ukraine,15526,4652,20178,,,,,,,Ecuador,185,65,250,285%
,,,,,,,,,,,,,,,United Kingdom,94169,76815,170984,,,,,,,Zambia,54,19,73,284%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,Timor0Leste,108,38,146,284%
,,,,,,,,,,,,,,,Uzbekistan,4086,4940,9026,,,,,,,Macao (China),4035,1420,5455,284%
,,,,,,,,,,,,,,,Vatican City State,0,0,0,,,,,,,Costa rica,304,107,411,284%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Ghana,105,37,142,284%
,,,,,,,,,,,,,,,Middle East,37415,30556,67971,,,,,,,Sri Lanka,6660,2356,9016,283%
,,,,,,,,,,,,,,,Bahrain,2310,1339,3649,,,,,,,Nepal,5524,1957,7481,282%
,,,,,,,,,,,,,,,Egypt,1601,904,2505,,,,,,,China,804453,285547,1090000,282%
,,,,,,,,,,,,,,,Iraq,450,329,779,,,,,,,Namibia,90,32,122,281%
,,,,,,,,,,,,,,,Jordan,967,665,1632,,,,,,,Panama,118,42,160,281%
,,,,,,,,,,,,,,,Kuwait,8135,7099,15234,,,,,,,Benin,14,5,19,280%
,,,,,,,,,,,,,,,Lebanon,388,169,557,,,,,,,Rwanda,14,5,19,280%
,,,,,,,,,,,,,,,Libia,,11,11,,,,,,,Uruguay,170,61,231,279%
,,,,,,,,,,,,,,,Libya,42,,42,,,,,,,Timor0Leste,133,48,181,277%
,,,,,,,,,,,,,,,Oman,9481,5407,14888,,,,,,,China,909942,328414,1238356,277%
,,,,,,,,,,,,,,,Palestine,69,164,233,,,,,,,Lebanon,709,256,965,277%
,,,,,,,,,,,,,,,Qatar,2905,2404,5309,,,,,,,Costa rica,108,39,147,277%
,,,,,,,,,,,,,,,Saudi Arabia,2288,7462,9750,,,,,,,Malawi,47,17,64,276%
,,,,,,,,,,,,,,,Syria,110,176,286,,,,,,,Panama,80,29,109,276%
,,,,,,,,,,,,,,,U.A.E.,8404,4059,12463,,,,,,,Zambia,55,20,75,275%
,,,,,,,,,,,,,,,Yemen,265,368,633,,,,,,,Solomon  Islands,11,4,15,275%
,,,,,,,,,,,,,,,other,1598,,1598,,,,,,,Rwanda,41,15,56,273%
,,,,,,,,,,,,,,,stateless person,1598,,1598,,,,,,,Senegal,87,32,119,272%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,Ethiopia,2791,1028,3819,271%
,,,,,,,,,,,,,,,Feb,3600922,2113550,5714472,,,,,,,China,844240,311888,1156128,271%
,,,,,,,,,,,,,,,Africa,11260,7014,18274,,,,,,,Papua New Guinea,62,23,85,270%
,,,,,,,,,,,,,,,Algeria,244,219,463,,,,,,,Tajikistan,62,23,85,270%
,,,,,,,,,,,,,,,Angola,18,5,23,,,,,,,Mozambique,245,91,336,269%
,,,,,,,,,,,,,,,Benin,9,4,13,,,,,,,Nigeria,301,112,413,269%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Côte d'Ivoire,67,25,92,268%
,,,,,,,,,,,,,,,Botswana,37,4,41,,,,,,,Guinea,56,21,77,267%
,,,,,,,,,,,,,,,Burkina  Faso,14,4,18,,,,,,,Eswatini,8,3,11,267%
,,,,,,,,,,,,,,,Burundi,5,4,9,,,,,,,Uganda,185,70,255,264%
,,,,,,,,,,,,,,,Cameroon,42,22,64,,,,,,,Ukraine,10213,3881,14094,263%
,,,,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,Tonga,21,8,29,263%
,,,,,,,,,,,,,,,Cape Verde Rep.,4,2,6,,,,,,,Japan,157029,60489,217518,260%
,,,,,,,,,,,,,,,Central African Republic,2,0,2,,,,,,,China,804876,310266,1115142,259%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Tunisia,405,157,562,258%
,,,,,,,,,,,,,,,Chad,7,9,16,,,,,,,Senegal,90,35,125,257%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,ANDORRA,54,21,75,257%
,,,,,,,,,,,,,,,Comoros,29,49,78,,,,,,,North Macedonia,198,77,275,257%
,,,,,,,,,,,,,,,Côte d'Ivoire,23,15,38,,,,,,,Paraguay,64,25,89,256%
,,,,,,,,,,,,,,,Djibouti,19,5,24,,,,,,,Uganda,342,134,476,255%
,,,,,,,,,,,,,,,Equatorial  Guinea,3,0,3,,,,,,,Ethiopia,2007,787,2794,255%
,,,,,,,,,,,,,,,Eritrea,13,42,55,,,,,,,Chad,28,11,39,255%
,,,,,,,,,,,,,,,Eswatini,6,4,10,,,,,,,Belarus,683,269,952,254%
,,,,,,,,,,,,,,,Ethiopia,2459,785,3244,,,,,,,Oman,6419,2531,8950,254%
,,,,,,,,,,,,,,,Gabon,4,1,5,,,,,,,Azerbaijan,124,49,173,253%
,,,,,,,,,,,,,,,Gambia,11,5,16,,,,,,,Fiji,187,74,261,253%
,,,,,,,,,,,,,,,Ghana,107,37,144,,,,,,,Zambia,48,19,67,253%
,,,,,,,,,,,,,,,Guinea,67,22,89,,,,,,,Cameroon,58,23,81,252%
,,,,,,,,,,,,,,,Guinea0Bissau,2,0,2,,,,,,,Marshall Islands,5,2,7,250%
,,,,,,,,,,,,,,,Kenya,441,284,725,,,,,,,Kiribati,5,2,7,250%
,,,,,,,,,,,,,,,Lesotho,2,1,3,,,,,,,ANDORRA,65,26,91,250%
,,,,,,,,,,,,,,,Liberia,16,19,35,,,,,,,Niger,5,2,7,250%
,,,,,,,,,,,,,,,Madagascar,94,19,113,,,,,,,República Dominicana,60,24,84,250%
,,,,,,,,,,,,,,,Malawi,20,13,33,,,,,,,Djibouti,10,4,14,250%
,,,,,,,,,,,,,,,Mali,38,29,67,,,,,,,Malawi,20,8,28,250%
,,,,,,,,,,,,,,,Mauritania,0,2,2,,,,,,,Belize,5,2,7,250%
,,,,,,,,,,,,,,,Mauritius,610,772,1382,,,,,,,Azerbaijan,432,173,605,250%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Armenia,92,37,129,249%
,,,,,,,,,,,,,,,Mayotte,83,0,83,,,,,,,Ethiopia,2205,887,3092,249%
,,,,,,,,,,,,,,,Melilla,0,0,0,,,,,,,Lebanon,492,198,690,248%
,,,,,,,,,,,,,,,Morocco,616,618,1234,,,,,,,Macao (China),5411,2194,7605,247%
,,,,,,,,,,,,,,,Mozambique,85,48,133,,,,,,,Seychelles,106,43,149,247%
,,,,,,,,,,,,,,,Namibia,48,22,70,,,,,,,Luxembourg,1190,484,1674,246%
,,,,,,,,,,,,,,,Niger,7,4,11,,,,,,,Macao (China),8673,3528,12201,246%
,,,,,,,,,,,,,,,Nigeria,192,144,336,,,,,,,Tunisia,602,245,847,246%
,,,,,,,,,,,,,,,République Démocratique du Congo,0,11,11,,,,,,,China,1004061,410311,1414372,245%
,,,,,,,,,,,,,,,République du Congo,27,2,29,,,,,,,Laos,136200,56042,192242,243%
,,,,,,,,,,,,,,,Reunion,594,0,594,,,,,,,Togo,17,7,24,243%
,,,,,,,,,,,,,,,Rwanda,16,5,21,,,,,,,Bahamas,17,7,24,243%
,,,,,,,,,,,,,,,Saint  Helena,0,0,0,,,,,,,El Salvador,51,21,72,243%
,,,,,,,,,,,,,,,Sao Tome/Principe,0,1,1,,,,,,,Macao (China),5786,2384,8170,243%
,,,,,,,,,,,,,,,Senegal,90,35,125,,,,,,,Bolivia,82,34,116,241%
,,,,,,,,,,,,,,,Seychelles,172,25,197,,,,,,,Japan,157825,65451,223276,241%
,,,,,,,,,,,,,,,Sierra Leone,5,8,13,,,,,,,Mozambique,60,25,85,240%
,,,,,,,,,,,,,,,Somalia,14,30,44,,,,,,,Rwanda,24,10,34,240%
,,,,,,,,,,,,,,,South  Africa,3978,2892,6870,,,,,,,Zambia,144,60,204,240%
,,,,,,,,,,,,,,,South Sudan,0,6,6,,,,,,,Cyprus,655,274,929,239%
,,,,,,,,,,,,,,,Sudan,229,247,476,,,,,,,Ukraine,8780,3673,12453,239%
,,,,,,,,,,,,,,,Tanzania,162,103,265,,,,,,,Panama,69,29,98,238%
,,,,,,,,,,,,,,,Togo,13,4,17,,,,,,,Kenya,873,367,1240,238%
,,,,,,,,,,,,,,,Transkei,0,0,0,,,,,,,North Macedonia,57,24,81,238%
,,,,,,,,,,,,,,,Tunisia,296,298,594,,,,,,,Guinea,76,32,108,238%
,,,,,,,,,,,,,,,Uganda,185,70,255,,,,,,,Luxembourg,589,248,837,238%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Ukraine,8219,3505,11724,234%
,,,,,,,,,,,,,,,Zambia,54,19,73,,,,,,,Algeria,349,149,498,234%
,,,,,,,,,,,,,,,Zimbabwe,48,45,93,,,,,,,Bahamas,7,3,10,233%
,,,,,,,,,,,,,,,America,135484,117838,253322,,,,,,,Haiti,7,3,10,233%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,Togo,21,9,30,233%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,3,11,14,,,,,,,Laos,135517,58222,193739,233%
,,,,,,,,,,,,,,,Argentina,3483,2248,5731,,,,,,,Japan,135309,58205,193514,232%
,,,,,,,,,,,,,,,Aruba,0,0,0,,,,,,,Macao (China),6004,2591,8595,232%
,,,,,,,,,,,,,,,Bahamas,9,8,17,,,,,,,Liberia,44,19,63,232%
,,,,,,,,,,,,,,,Barbados,0,12,12,,,,,,,Montenegro,23,10,33,230%
,,,,,,,,,,,,,,,Belize,0,6,6,,,,,,,Malawi,23,10,33,230%
,,,,,,,,,,,,,,,Bermuda,25,0,25,,,,,,,Lebanon,388,169,557,230%
,,,,,,,,,,,,,,,Bolivia,56,50,106,,,,,,,Uruguay,135,59,194,229%
,,,,,,,,,,,,,,,Bonaire,1,0,1,,,,,,,Nepal,5870,2566,8436,229%
,,,,,,,,,,,,,,,Brazil,5600,4405,10005,,,,,,,Sri Lanka,5518,2415,7933,228%
,,,,,,,,,,,,,,,British  Virgin  Islands,1,0,1,,,,,,,Kenya,582,256,838,227%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Iceland,477,210,687,227%
,,,,,,,,,,,,,,,Canada,27173,23740,50913,,,,,,,Tanzania,159,70,229,227%
,,,,,,,,,,,,,,,Cayman  Islands,3,0,3,,,,,,,Trinidad and Tobago,52,23,75,226%
,,,,,,,,,,,,,,,Chile,3368,1654,5022,,,,,,,Tajikistan,79,35,114,226%
,,,,,,,,,,,,,,,Clipperton  Island,0,0,0,,,,,,,Benin,9,4,13,225%
,,,,,,,,,,,,,,,Colombia,518,499,1017,,,,,,,Gambia,18,8,26,225%
,,,,,,,,,,,,,,,Costa rica,103,81,184,,,,,,,Rwanda,27,12,39,225%
,,,,,,,,,,,,,,,Cuba,12,20,32,,,,,,,Nicaragua,9,4,13,225%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,Costa rica,99,44,143,225%
,,,,,,,,,,,,,,,Dominica,3,34,37,,,,,,,Djibouti,18,8,26,225%
,,,,,,,,,,,,,,,Ecuador,98,87,185,,,,,,,Sri Lanka,4460,1984,6444,225%
,,,,,,,,,,,,,,,El Salvador,20,27,47,,,,,,,El Salvador,38,17,55,224%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Senegal,118,53,171,223%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Gambia,11,5,16,220%
,,,,,,,,,,,,,,,Greenland,29,0,29,,,,,,,Tonga,11,5,16,220%
,,,,,,,,,,,,,,,Grenada,0,7,7,,,,,,,Tanzania,140,64,204,219%
,,,,,,,,,,,,,,,Guadalope,3,0,3,,,,,,,Azerbaijan,105,48,153,219%
,,,,,,,,,,,,,,,Guatamala,,32,32,,,,,,,Colombia,1028,470,1498,219%
,,,,,,,,,,,,,,,Guatemala,54,,54,,,,,,,Japan,121767,55763,177530,218%
,,,,,,,,,,,,,,,Guyana,9,6,15,,,,,,,El Salvador,48,22,70,218%
,,,,,,,,,,,,,,,Haiti,2,10,12,,,,,,,Namibia,48,22,70,218%
,,,,,,,,,,,,,,,Honduras,16,22,38,,,,,,,Paraguay,63,29,92,217%
,,,,,,,,,,,,,,,Jamaica,34,,34,,,,,,,Japan,116563,53744,170307,217%
,,,,,,,,,,,,,,,Jamica,,21,21,,,,,,,Malawi,26,12,38,217%
,,,,,,,,,,,,,,,Martinique,1,0,1,,,,,,,Ukraine,12234,5660,17894,216%
,,,,,,,,,,,,,,,Mexico,1267,1968,3235,,,,,,,ANDORRA,41,19,60,216%
,,,,,,,,,,,,,,,Montserrat,0,0,0,,,,,,,Mali,41,19,60,216%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Laos,145758,67930,213688,215%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,0,0,,,,,,,Cyprus,433,202,635,214%
,,,,,,,,,,,,,,,Nicaragua,22,3,25,,,,,,,Angola,15,7,22,214%
,,,,,,,,,,,,,,,Panama,69,29,98,,,,,,,Mali,62,29,91,214%
,,,,,,,,,,,,,,,Paraguay,35,22,57,,,,,,,Uruguay,974,456,1430,214%
,,,,,,,,,,,,,,,Peru,487,435,922,,,,,,,Comoros,32,15,47,213%
,,,,,,,,,,,,,,,Puerto Rico,22,0,22,,,,,,,Mozambique,128,60,188,213%
,,,,,,,,,,,,,,,República Dominicana,42,23,65,,,,,,,Sri Lanka,4407,2069,6476,213%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Bolivia,100,47,147,213%
,,,,,,,,,,,,,,,Saint  Barthelemy,0,0,0,,,,,,,Ghana,102,48,150,213%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Kuwait,5030,2371,7401,212%
,,,,,,,,,,,,,,,Saint  Lucia,1,14,15,,,,,,,Bolivia,70,33,103,212%
,,,,,,,,,,,,,,,Saint  Martin,0,0,0,,,,,,,U.A.E.,10314,4869,15183,212%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,,,,,,,Cuba,36,17,53,212%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,Eswatini,19,9,28,211%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,13,40,53,,,,,,,Senegal,120,57,177,211%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,Sri Lanka,6686,3178,9864,210%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,1,2,3,,,,,,,Mali,42,20,62,210%
,,,,,,,,,,,,,,,Surinam,,3,3,,,,,,,Cameroon,69,33,102,209%
,,,,,,,,,,,,,,,Suriname,6,,6,,,,,,,Laos,176106,84275,260381,209%
,,,,,,,,,,,,,,,The United States of America,92454,81946,174400,,,,,,,Panama,121,58,179,209%
,,,,,,,,,,,,,,,Trinidad and Tobago,23,14,37,,,,,,,Namibia,100,48,148,208%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,Kenya,1677,805,2482,208%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Nepal,4668,2241,6909,208%
,,,,,,,,,,,,,,,Uruguay,380,304,684,,,,,,,Seychelles,431,207,638,208%
,,,,,,,,,,,,,,,Venezuela,38,55,93,,,,,,,Kenya,512,246,758,208%
,,,,,,,,,,,,,,,Asia and the Pacific,2596571,1277199,3873770,,,,,,,Laos,163130,78382,241512,208%
,,,,,,,,,,,,,,,Afganistan,,23,23,,,,,,,Lebanon,611,294,905,208%
,,,,,,,,,,,,,,,Afghanistan,181,,181,,,,,,,Paraguay,58,28,86,207%
,,,,,,,,,,,,,,,American Samoa,0,2,2,,,,,,,Burkina  Faso,29,14,43,207%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,U.A.E.,8404,4059,12463,207%
,,,,,,,,,,,,,,,Australia,53201,45107,98308,,,,,,,Panama,118,57,175,207%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,Panama,33,16,49,206%
,,,,,,,,,,,,,,,Bangladesh,9714,9760,19474,,,,,,,Macao (China),7143,3467,10610,206%
,,,,,,,,,,,,,,,Bhutan,1639,2564,4203,,,,,,,Mali,35,17,52,206%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Guinea,70,34,104,206%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Costa rica,212,103,315,206%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,Norway,8354,4059,12413,206%
,,,,,,,,,,,,,,,Brunei,1404,848,2252,,,,,,,Laos,170504,83014,253518,205%
,,,,,,,,,,,,,,,Cambodia,70855,41791,112646,,,,,,,Zambia,39,19,58,205%
,,,,,,,,,,,,,,,Caroline Islands,0,0,0,,,,,,,ANDORRA,45,22,67,205%
,,,,,,,,,,,,,,,China,1079300,155656,1234956,,,,,,,Nepal,4875,2387,7262,204%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,Chile,3368,1654,5022,204%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Luxembourg,708,348,1056,203%
,,,,,,,,,,,,,,,Cook  Islands,1,0,1,,,,,,,Moldova,59,29,88,203%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Asia and the Pacific,2607030,1281532,3888562,203%
,,,,,,,,,,,,,,,Fiji,122,93,215,,,,,,,Asia and the Pacific,2596571,1277199,3873770,203%
,,,,,,,,,,,,,,,French  Polynesia,85,0,85,,,,,,,Ethiopia,2615,1289,3904,203%
,,,,,,,,,,,,,,,Guam,58,0,58,,,,,,,China,863838,425941,1289779,203%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,Papua New Guinea,93,46,139,202%
,,,,,,,,,,,,,,,Hong Kong (China),83674,41967,125641,,,,,,,Tanzania,268,133,401,202%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Ethiopia,2908,1444,4352,201%
,,,,,,,,,,,,,,,India,121244,99808,221052,,,,,,,Japan,133023,66164,199187,201%
,,,,,,,,,,,,,,,Indonesia,48895,46915,95810,,,,,,,Fiji,203,101,304,201%
,,,,,,,,,,,,,,,Iran,3764,2475,6239,,,,,,,Djibouti,8,4,12,200%
,,,,,,,,,,,,,,,Japan,157825,65451,223276,,,,,,,Solomon  Islands,4,2,6,200%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,Cape Verde Rep.,4,2,6,200%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,Lesotho,2,1,3,200%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Ghana,92,46,138,200%
,,,,,,,,,,,,,,,Kiribati,16,0,16,,,,,,,Lesotho,2,1,3,200%
,,,,,,,,,,,,,,,Korea (Republic of),180485,157440,337925,,,,,,,Micronesia FSM,2,1,3,200%
,,,,,,,,,,,,,,,Laos,136200,56042,192242,,,,,,,Burundi,8,4,12,200%
,,,,,,,,,,,,,,,Macao (China),4035,1420,5455,,,,,,,Lesotho,2,1,3,200%
,,,,,,,,,,,,,,,Malaysia,332002,305367,637369,,,,,,,Togo,10,5,15,200%
,,,,,,,,,,,,,,,Maldives,1636,1757,3393,,,,,,,Marshall Islands,2,1,3,200%
,,,,,,,,,,,,,,,Marshall Islands,3,6,9,,,,,,,North Macedonia,110,55,165,200%
,,,,,,,,,,,,,,,Micronesia FSM,1,2,3,,,,,,,Antigua  and  Barbuda,22,11,33,200%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Cuba,24,12,36,200%
,,,,,,,,,,,,,,,Mongolia,2528,3192,5720,,,,,,,Solomon  Islands,4,2,6,200%
,,,,,,,,,,,,,,,Myanmar,29730,22405,52135,,,,,,,Eswatini,8,4,12,200%
,,,,,,,,,,,,,,,N. Mariana Islands,0,0,0,,,,,,,Kiribati,2,1,3,200%
,,,,,,,,,,,,,,,Nauru,17,2,19,,,,,,,Benin,10,5,15,200%
,,,,,,,,,,,,,,,Nepal,3427,2403,5830,,,,,,,Marshall Islands,4,2,6,200%
,,,,,,,,,,,,,,,New Caledonia,235,0,235,,,,,,,Cape Verde Rep.,4,2,6,200%
,,,,,,,,,,,,,,,New Zealand,4906,4946,9852,,,,,,,Central African Republic,2,1,3,200%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,Mozambique,78,39,117,200%
,,,,,,,,,,,,,,,Norfalk  Island,3,0,3,,,,,,,Kiribati,2,1,3,200%
,,,,,,,,,,,,,,,North Korea,0,0,0,,,,,,,Ethiopia,2370,1185,3555,200%
,,,,,,,,,,,,,,,Pakistan,5241,6117,11358,,,,,,,Nicaragua,10,5,15,200%
,,,,,,,,,,,,,,,Palau,2,0,2,,,,,,,Central African Republic,2,1,3,200%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Saint  Helena,2,1,3,200%
,,,,,,,,,,,,,,,Papua New Guinea,62,23,85,,,,,,,Laos,157951,78996,236947,200%
,,,,,,,,,,,,,,,Philippines,29640,27540,57180,,,,,,,Hong Kong (China),83674,41967,125641,199%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Belgium,11182,5614,16796,199%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Ukraine,5196,2610,7806,199%
,,,,,,,,,,,,,,,Samoa,15,0,15,,,,,,,Nepal,5785,2906,8691,199%
,,,,,,,,,,,,,,,Singapore,74843,60792,135635,,,,,,,Chile,2479,1253,3732,198%
,,,,,,,,,,,,,,,Solomon  Islands,7,1,8,,,,,,,Azerbaijan,81,41,122,198%
,,,,,,,,,,,,,,,Sri Lanka,5518,2415,7933,,,,,,,Laos,151695,77328,229023,196%
,,,,,,,,,,,,,,,Taiwan,72833,42995,115828,,,,,,,Sudan,245,125,370,196%
,,,,,,,,,,,,,,,Timor0Leste,61,7,68,,,,,,,Papua New Guinea,98,50,148,196%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,Luxembourg,587,300,887,196%
,,,,,,,,,,,,,,,Tonga,11,5,16,,,,,,,Luxembourg,430,220,650,195%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Honduras,43,22,65,195%
,,,,,,,,,,,,,,,Tuvalu,0,0,0,,,,,,,Armenia,160,82,242,195%
,,,,,,,,,,,,,,,United States Minor Outlying Island,0,0,0,,,,,,,Liechtenstein,37,19,56,195%
,,,,,,,,,,,,,,,Vanautu,,132,132,,,,,,,Trinidad and Tobago,74,38,112,195%
,,,,,,,,,,,,,,,Vanuatu,40,,40,,,,,,,Iceland,783,403,1186,194%
,,,,,,,,,,,,,,,Vietnam,81108,69730,150838,,,,,,,Nepal,4740,2445,7185,194%
,,,,,,,,,,,,,,,Wake  Island,1,0,1,,,,,,,Tanzania,217,112,329,194%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,3,0,3,,,,,,,Tunisia,433,224,657,193%
,,,,,,,,,,,,,,,Europe,830824,684551,1515375,,,,,,,Kenya,632,327,959,193%
,,,,,,,,,,,,,,,ALBANIA,101,126,227,,,,,,,Egypt,1601,829,2430,193%
,,,,,,,,,,,,,,,ANDORRA,61,10,71,,,,,,,Cuba,27,14,41,193%
,,,,,,,,,,,,,,,Armenia,160,82,242,,,,,,,Paraguay,77,40,117,193%
,,,,,,,,,,,,,,,Austria,16371,11285,27656,,,,,,,Laos,150299,78147,228446,192%
,,,,,,,,,,,,,,,Azerbaijan,136,108,244,,,,,,,Cuba,23,12,35,192%
,,,,,,,,,,,,,,,Belarus,1654,1231,2885,,,,,,,North Macedonia,136,71,207,192%
,,,,,,,,,,,,,,,Belgium,10342,8361,18703,,,,,,,Japan,195039,101847,296886,192%
,,,,,,,,,,,,,,,Bosnia0Herzegovina,113,174,287,,,,,,,Japan,162932,85271,248203,191%
,,,,,,,,,,,,,,,Bulgaria,2052,1906,3958,,,,,,,Egypt,1578,826,2404,191%
,,,,,,,,,,,,,,,Channel Islands,6,,6,,,,,,,Cameroon,42,22,64,191%
,,,,,,,,,,,,,,,Croatia,950,817,1767,,,,,,,Burkina  Faso,21,11,32,191%
,,,,,,,,,,,,,,,Cyprus,433,202,635,,,,,,,Estonia,5436,2850,8286,191%
,,,,,,,,,,,,,,,Czech Republic,10651,7929,18580,,,,,,,Sudan,366,192,558,191%
,,,,,,,,,,,,,,,Denmark,30821,18726,49547,,,,,,,Laos,158080,82985,241065,190%
,,,,,,,,,,,,,,,Estonia,4551,2863,7414,,,,,,,Costa rica,179,94,273,190%
,,,,,,,,,,,,,,,Faeroe Islands ,15,0,15,,,,,,,Tonga,19,10,29,190%
,,,,,,,,,,,,,,,Finland,22085,12518,34603,,,,,,,Japan,151847,80010,231857,190%
,,,,,,,,,,,,,,,France,113499,75188,188687,,,,,,,Trinidad and Tobago,89,47,136,189%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Ghana,87,46,133,189%
