ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Japan,153453,46336,199789,,,,,,,Tunisia,578,148,726,391%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,Guinea,74,19,93,389%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,Burkina  Faso,31,8,39,388%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Panama,93,24,117,388%
,,,,,,,,,,,,,,,Kiribati,4,0,4,,,,,,,Mozambique,58,15,73,387%
,,,,,,,,,,,,,,,Korea (Republic of),209016,169462,378478,,,,,,,Sri Lanka,8517,2211,10728,385%
,,,,,,,,,,,,,,,Laos,147379,85353,232732,,,,,,,Angola,23,6,29,383%
,,,,,,,,,,,,,,,Macao (China),2954,853,3807,,,,,,,Burkina  Faso,23,6,29,383%
,,,,,,,,,,,,,,,Malaysia,276779,288745,565524,,,,,,,Seychelles,255,67,322,381%
,,,,,,,,,,,,,,,Maldives,2081,1452,3533,,,,,,,Costa rica,293,77,370,381%
,,,,,,,,,,,,,,,Marshall Islands,5,2,7,,,,,,,Guinea,76,20,96,380%
,,,,,,,,,,,,,,,Micronesia FSM,0,0,0,,,,,,,Djibouti,19,5,24,380%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Madagascar,79,21,100,376%
,,,,,,,,,,,,,,,Mongolia,4144,5138,9282,,,,,,,U.A.E.,11903,3195,15098,373%
,,,,,,,,,,,,,,,Myanmar,30872,30764,61636,,,,,,,Tonga,26,7,33,371%
,,,,,,,,,,,,,,,N. Mariana Islands,2,0,2,,,,,,,China,993627,269773,1263400,368%
,,,,,,,,,,,,,,,Nauru,5,5,10,,,,,,,Bahamas,22,6,28,367%
,,,,,,,,,,,,,,,Nepal,5524,1957,7481,,,,,,,Nauru,11,3,14,367%
,,,,,,,,,,,,,,,New Caledonia,362,0,362,,,,,,,Rwanda,22,6,28,367%
,,,,,,,,,,,,,,,New Zealand,7828,5558,13386,,,,,,,Madagascar,95,26,121,365%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,Madagascar,134,37,171,362%
,,,,,,,,,,,,,,,Norfalk  Island,0,0,0,,,,,,,Mozambique,65,18,83,361%
,,,,,,,,,,,,,,,North Korea,0,0,0,,,,,,,Angola,18,5,23,360%
,,,,,,,,,,,,,,,Pakistan,7569,5441,13010,,,,,,,Namibia,272,76,348,358%
,,,,,,,,,,,,,,,Palau,0,0,0,,,,,,,Algeria,385,108,493,356%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Seychelles,192,54,246,356%
,,,,,,,,,,,,,,,Papua New Guinea,68,65,133,,,,,,,Senegal,103,29,132,355%
,,,,,,,,,,,,,,,Philippines,29955,27440,57395,,,,,,,République du Congo,46,13,59,354%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Uruguay,480,137,617,350%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Burkina  Faso,14,4,18,350%
,,,,,,,,,,,,,,,Samoa,8,0,8,,,,,,,Sierra Leone,14,4,18,350%
,,,,,,,,,,,,,,,Singapore,78642,69106,147748,,,,,,,Bahamas,14,4,18,350%
,,,,,,,,,,,,,,,Solomon  Islands,4,2,6,,,,,,,Guinea,97,28,125,346%
,,,,,,,,,,,,,,,Sri Lanka,4962,1534,6496,,,,,,,Macao (China),2954,853,3807,346%
,,,,,,,,,,,,,,,Taiwan,62355,49492,111847,,,,,,,Tunisia,553,161,714,343%
,,,,,,,,,,,,,,,Timor0Leste,108,21,129,,,,,,,Namibia,78,23,101,339%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,North Macedonia,81,24,105,338%
,,,,,,,,,,,,,,,Tonga,5,9,14,,,,,,,Ukraine,15526,4652,20178,334%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Niger,10,3,13,333%
,,,,,,,,,,,,,,,Tuvalu,0,0,0,,,,,,,Djibouti,10,3,13,333%
,,,,,,,,,,,,,,,United States Minor Outlying Island,1,0,1,,,,,,,Japan,153453,46336,199789,331%
,,,,,,,,,,,,,,,Vanautu,,144,144,,,,,,,Malawi,46,14,60,329%
,,,,,,,,,,,,,,,Vanuatu,36,,36,,,,,,,Japan,148317,45258,193575,328%
,,,,,,,,,,,,,,,Vietnam,59003,71189,130192,,,,,,,ANDORRA,85,26,111,327%
,,,,,,,,,,,,,,,Wake  Island,0,0,0,,,,,,,Ghana,88,27,115,326%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,1,0,1,,,,,,,Togo,13,4,17,325%
,,,,,,,,,,,,,,,Europe,889904,705869,1595773,,,,,,,Sri Lanka,4962,1534,6496,323%
,,,,,,,,,,,,,,,ALBANIA,135,144,279,,,,,,,Uruguay,155,48,203,323%
,,,,,,,,,,,,,,,ANDORRA,41,19,60,,,,,,,Angola,29,9,38,322%
,,,,,,,,,,,,,,,Armenia,240,127,367,,,,,,,Honduras,58,18,76,322%
,,,,,,,,,,,,,,,Austria,15387,11680,27067,,,,,,,Ghana,161,50,211,322%
,,,,,,,,,,,,,,,Azerbaijan,223,125,348,,,,,,,Rwanda,16,5,21,320%
,,,,,,,,,,,,,,,Belarus,2389,1311,3700,,,,,,,Nicaragua,16,5,21,320%
,,,,,,,,,,,,,,,Belgium,10579,7678,18257,,,,,,,Tonga,16,5,21,320%
,,,,,,,,,,,,,,,Bosnia0Herzegovina,149,112,261,,,,,,,Ethiopia,2769,866,3635,320%
,,,,,,,,,,,,,,,Bulgaria,2295,1915,4210,,,,,,,Guinea,83,26,109,319%
,,,,,,,,,,,,,,,Channel Islands,8,,8,,,,,,,Seychelles,242,76,318,318%
,,,,,,,,,,,,,,,Croatia,1693,900,2593,,,,,,,Liechtenstein,111,35,146,317%
,,,,,,,,,,,,,,,Cyprus,655,274,929,,,,,,,Togo,19,6,25,317%
,,,,,,,,,,,,,,,Czech Republic,8713,7034,15747,,,,,,,Seychelles,248,79,327,314%
,,,,,,,,,,,,,,,Denmark,29453,18539,47992,,,,,,,Cameroon,116,37,153,314%
,,,,,,,,,,,,,,,Estonia,3992,2784,6776,,,,,,,North Macedonia,94,30,124,313%
,,,,,,,,,,,,,,,Faeroe Islands ,7,0,7,,,,,,,Ethiopia,2459,785,3244,313%
,,,,,,,,,,,,,,,Finland,23711,14304,38015,,,,,,,Brunei,2359,754,3113,313%
,,,,,,,,,,,,,,,France,85698,59925,145623,,,,,,,San Marino,25,8,33,313%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Panama,81,26,107,312%
,,,,,,,,,,,,,,,French Southern and Antarctic Territories,0,0,0,,,,,,,Botswana,56,18,74,311%
,,,,,,,,,,,,,,,Georgia,102,257,359,,,,,,,Rwanda,28,9,37,311%
,,,,,,,,,,,,,,,Germany,93847,73045,166892,,,,,,,Mozambique,95,31,126,306%
,,,,,,,,,,,,,,,Gibraltar,29,0,29,,,,,,,China,868292,284989,1153281,305%
,,,,,,,,,,,,,,,Greece,2136,2136,4272,,,,,,,Guinea,67,22,89,305%
,,,,,,,,,,,,,,,Guernsey,32,0,32,,,,,,,Nigeria,409,136,545,301%
,,,,,,,,,,,,,,,Hungary,7373,4530,11903,,,,,,,Togo,18,6,24,300%
,,,,,,,,,,,,,,,Iceland,783,403,1186,,,,,,,Chad,27,9,36,300%
,,,,,,,,,,,,,,,Ireland,5217,5950,11167,,,,,,,Côte d'Ivoire,36,12,48,300%
,,,,,,,,,,,,,,,Isle of Man,38,0,38,,,,,,,Kiribati,3,1,4,300%
,,,,,,,,,,,,,,,Israel,18483,24321,42804,,,,,,,Guyana,3,1,4,300%
,,,,,,,,,,,,,,,Italy,34708,21695,56403,,,,,,,Benin,18,6,24,300%
,,,,,,,,,,,,,,,Jersey,81,0,81,,,,,,,Cape Verde Rep.,3,1,4,300%
,,,,,,,,,,,,,,,Kazakhstan,13637,26656,40293,,,,,,,Equatorial  Guinea,3,1,4,300%
,,,,,,,,,,,,,,,Kosovo,0,70,70,,,,,,,Bahamas,12,4,16,300%
,,,,,,,,,,,,,,,Kyrgyzstan,1585,907,2492,,,,,,,Kiribati,6,2,8,300%
,,,,,,,,,,,,,,,Latvia,1524,1413,2937,,,,,,,Palau,3,1,4,300%
,,,,,,,,,,,,,,,Liechtenstein,100,62,162,,,,,,,Benin,18,6,24,300%
